c(g:d)(CV_n125_ac_des) X,c(g:d)(CV_n125_ac_des) Y,c(g:d)(CV_n126_ac_des) X,c(g:d)(CV_n126_ac_des) Y,c(g:d)(CV_n127_ac_des) X,c(g:d)(CV_n127_ac_des) Y,c(g:d)(CV_n128_ac_des) X,c(g:d)(CV_n128_ac_des) Y,c(g:d)(CV_n129_ac_des) X,c(g:d)(CV_n129_ac_des) Y,c(g:d)(CV_n130_ac_des) X,c(g:d)(CV_n130_ac_des) Y,c(g:d)(CV_n131_ac_des) X,c(g:d)(CV_n131_ac_des) Y,c(g:d)(CV_n132_ac_des) X,c(g:d)(CV_n132_ac_des) Y,c(g:d)(CV_n133_ac_des) X,c(g:d)(CV_n133_ac_des) Y,c(g:d)(CV_n134_ac_des) X,c(g:d)(CV_n134_ac_des) Y,c(g:d)(CV_n135_ac_des) X,c(g:d)(CV_n135_ac_des) Y,c(g:d)(CV_n136_ac_des) X,c(g:d)(CV_n136_ac_des) Y,c(g:d)(CV_n137_ac_des) X,c(g:d)(CV_n137_ac_des) Y,c(g:d)(CV_n138_ac_des) X,c(g:d)(CV_n138_ac_des) Y,c(g:d)(CV_n139_ac_des) X,c(g:d)(CV_n139_ac_des) Y,c(g:d)(CV_n140_ac_des) X,c(g:d)(CV_n140_ac_des) Y,c(g:d)(CV_n141_ac_des) X,c(g:d)(CV_n141_ac_des) Y,c(g:d)(CV_n142_ac_des) X,c(g:d)(CV_n142_ac_des) Y,c(g:d)(CV_n143_ac_des) X,c(g:d)(CV_n143_ac_des) Y,c(g:d)(CV_n144_ac_des) X,c(g:d)(CV_n144_ac_des) Y,c(g:d)(CV_n145_ac_des) X,c(g:d)(CV_n145_ac_des) Y,c(g:d)(CV_n146_ac_des) X,c(g:d)(CV_n146_ac_des) Y,c(g:d)(CV_n147_ac_des) X,c(g:d)(CV_n147_ac_des) Y,c(g:d)(CV_n148_ac_des) X,c(g:d)(CV_n148_ac_des) Y,c(g:d)(CV_n149_ac_des) X,c(g:d)(CV_n149_ac_des) Y,c(g:d)(CV_n150_ac_des) X,c(g:d)(CV_n150_ac_des) Y,c(g:d)(CV_n151_ac_des) X,c(g:d)(CV_n151_ac_des) Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.45E-15,-1,-5.46E-15,-1,-5.50E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,-0.86538462,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,-0.73076923,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,-0.59615385,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,-0.46153846,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,-0.32692308,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,-0.19230769,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,-0.057692308,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076923077,-5.59E-15,0.076923077,-5.53E-15,0.076923077,-5.49E-15,0.076923077,-5.46E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,0.076923077,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21153846,-6.16E-15,0.21153846,-6.10E-15,0.21153846,-5.99E-15,0.21153846,-5.76E-15,0.21153846,-5.56E-15,0.21153846,-5.48E-15,0.21153846,-5.46E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,0.21153846,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34615385,-6.44E-15,0.34615385,-6.47E-15,0.34615385,-6.49E-15,0.34615385,-6.30E-15,0.34615385,-6.07E-15,0.34615385,-5.84E-15,0.34615385,-5.62E-15,0.34615385,-5.51E-15,0.34615385,-5.47E-15,0.34615385,-5.46E-15,0.34615385,-5.46E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,0.34615385,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48076923,-6.56E-15,0.48076923,-6.51E-15,0.48076923,-6.50E-15,0.48076923,-6.56E-15,0.48076923,-6.58E-15,0.48076923,-6.40E-15,0.48076923,-6.15E-15,0.48076923,-5.90E-15,0.48076923,-5.68E-15,0.48076923,-5.54E-15,0.48076923,-5.50E-15,0.48076923,-5.47E-15,0.48076923,-5.47E-15,0.48076923,-5.46E-15,0.48076923,-5.46E-15,0.48076923,-5.46E-15,0.48076923,-5.46E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,0.48076923,-5.45E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61538462,-6.75E-15,0.61538462,-6.61E-15,0.61538462,-6.51E-15,0.61538462,-6.43E-15,0.61538462,-6.44E-15,0.61538462,-6.48E-15,0.61538462,-6.46E-15,0.61538462,-6.39E-15,0.61538462,-6.29E-15,0.61538462,-6.14E-15,0.61538462,-5.93E-15,0.61538462,-5.70E-15,0.61538462,-5.56E-15,0.61538462,-5.50E-15,0.61538462,-5.48E-15,0.61538462,-5.48E-15,0.61538462,-5.47E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,0.61538462,-5.46E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,-7.43E-15,0.75,-7.09E-15,0.75,-6.74E-15,0.75,-6.42E-15,0.75,-6.38E-15,0.75,-6.38E-15,0.75,-6.39E-15,0.75,-6.39E-15,0.75,-6.38E-15,0.75,-6.34E-15,0.75,-6.28E-15,0.75,-6.19E-15,0.75,-6.07E-15,0.75,-5.92E-15,0.75,-5.75E-15,0.75,-5.62E-15,0.75,-5.54E-15,0.75,-5.51E-15,0.75,-5.49E-15,0.75,-5.48E-15,0.75,-5.47E-15,0.75,-5.47E-15,0.75,-5.46E-15,0.75,-5.46E-15,0.75,-5.47E-15,0.75,-5.46E-15,0.75,-5.46E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.88461538,-8.20E-15,0.88461538,-7.96E-15,0.88461538,-7.60E-15,0.88461538,-6.81E-15,0.88461538,-6.38E-15,0.88461538,-6.30E-15,0.88461538,-6.30E-15,0.88461538,-6.30E-15,0.88461538,-6.31E-15,0.88461538,-6.31E-15,0.88461538,-6.30E-15,0.88461538,-6.28E-15,0.88461538,-6.24E-15,0.88461538,-6.19E-15,0.88461538,-6.11E-15,0.88461538,-6.01E-15,0.88461538,-5.90E-15,0.88461538,-5.78E-15,0.88461538,-5.67E-15,0.88461538,-5.59E-15,0.88461538,-5.54E-15,0.88461538,-5.52E-15,0.88461538,-5.51E-15,0.88461538,-5.49E-15,0.88461538,-5.49E-15,0.88461538,-5.49E-15,0.88461538,-5.47E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0192308,-8.65E-15,1.0192308,-8.50E-15,1.0192308,-8.29E-15,1.0192308,-7.73E-15,1.0192308,-6.98E-15,1.0192308,-6.42E-15,1.0192308,-6.26E-15,1.0192308,-6.24E-15,1.0192308,-6.23E-15,1.0192308,-6.23E-15,1.0192308,-6.23E-15,1.0192308,-6.22E-15,1.0192308,-6.22E-15,1.0192308,-6.20E-15,1.0192308,-6.17E-15,1.0192308,-6.14E-15,1.0192308,-6.11E-15,1.0192308,-6.05E-15,1.0192308,-5.98E-15,1.0192308,-5.88E-15,1.0192308,-5.77E-15,1.0192308,-5.70E-15,1.0192308,-5.64E-15,1.0192308,-5.58E-15,1.0192308,-5.55E-15,1.0192308,-5.53E-15,1.0192308,-5.52E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1538462,-8.91E-15,1.1538462,-8.82E-15,1.1538462,-8.69E-15,1.1538462,-8.35E-15,1.1538462,-7.87E-15,1.1538462,-7.19E-15,1.1538462,-6.53E-15,1.1538462,-6.27E-15,1.1538462,-6.21E-15,1.1538462,-6.19E-15,1.1538462,-6.18E-15,1.1538462,-6.17E-15,1.1538462,-6.16E-15,1.1538462,-6.16E-15,1.1538462,-6.15E-15,1.1538462,-6.13E-15,1.1538462,-6.12E-15,1.1538462,-6.08E-15,1.1538462,-6.07E-15,1.1538462,-6.04E-15,1.1538462,-5.99E-15,1.1538462,-5.95E-15,1.1538462,-5.84E-15,1.1538462,-5.77E-15,1.1538462,-5.72E-15,1.1538462,-5.66E-15,1.1538462,-5.62E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2884615,-9.09E-15,1.2884615,-9.03E-15,1.2884615,-8.93E-15,1.2884615,-8.71E-15,1.2884615,-8.41E-15,1.2884615,-7.99E-15,1.2884615,-7.41E-15,1.2884615,-6.71E-15,1.2884615,-6.31E-15,1.2884615,-6.21E-15,1.2884615,-6.18E-15,1.2884615,-6.16E-15,1.2884615,-6.15E-15,1.2884615,-6.14E-15,1.2884615,-6.12E-15,1.2884615,-6.10E-15,1.2884615,-6.10E-15,1.2884615,-6.07E-15,1.2884615,-6.07E-15,1.2884615,-6.07E-15,1.2884615,-6.02E-15,1.2884615,-6.00E-15,1.2884615,-5.99E-15,1.2884615,-5.93E-15,1.2884615,-5.96E-15,1.2884615,-5.84E-15,1.2884615,-5.77E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4230769,-9.23E-15,1.4230769,-9.17E-15,1.4230769,-9.10E-15,1.4230769,-8.94E-15,1.4230769,-8.73E-15,1.4230769,-8.46E-15,1.4230769,-8.11E-15,1.4230769,-7.61E-15,1.4230769,-6.93E-15,1.4230769,-6.40E-15,1.4230769,-6.22E-15,1.4230769,-6.17E-15,1.4230769,-6.15E-15,1.4230769,-6.13E-15,1.4230769,-6.12E-15,1.4230769,-6.10E-15,1.4230769,-6.09E-15,1.4230769,-6.06E-15,1.4230769,-6.06E-15,1.4230769,-6.05E-15,1.4230769,-6.02E-15,1.4230769,-6.02E-15,1.4230769,-6.01E-15,1.4230769,-5.99E-15,1.4230769,-5.95E-15,1.4230769,-5.93E-15,1.4230769,-5.94E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5576923,-9.33E-15,1.5576923,-9.29E-15,1.5576923,-9.23E-15,1.5576923,-9.10E-15,1.5576923,-8.95E-15,1.5576923,-8.76E-15,1.5576923,-8.52E-15,1.5576923,-8.21E-15,1.5576923,-7.78E-15,1.5576923,-7.17E-15,1.5576923,-6.54E-15,1.5576923,-6.26E-15,1.5576923,-6.18E-15,1.5576923,-6.15E-15,1.5576923,-6.13E-15,1.5576923,-6.11E-15,1.5576923,-6.10E-15,1.5576923,-6.08E-15,1.5576923,-6.07E-15,1.5576923,-6.05E-15,1.5576923,-6.02E-15,1.5576923,-6.02E-15,1.5576923,-5.99E-15,1.5576923,-5.97E-15,1.5576923,-5.99E-15,1.5576923,-5.96E-15,1.5576923,-5.97E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6923077,-9.42E-15,1.6923077,-9.38E-15,1.6923077,-9.33E-15,1.6923077,-9.23E-15,1.6923077,-9.11E-15,1.6923077,-8.96E-15,1.6923077,-8.79E-15,1.6923077,-8.57E-15,1.6923077,-8.30E-15,1.6923077,-7.93E-15,1.6923077,-7.39E-15,1.6923077,-6.73E-15,1.6923077,-6.33E-15,1.6923077,-6.21E-15,1.6923077,-6.16E-15,1.6923077,-6.14E-15,1.6923077,-6.12E-15,1.6923077,-6.10E-15,1.6923077,-6.08E-15,1.6923077,-6.06E-15,1.6923077,-6.05E-15,1.6923077,-6.03E-15,1.6923077,-6.00E-15,1.6923077,-6.00E-15,1.6923077,-5.99E-15,1.6923077,-5.96E-15,1.6923077,-5.94E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8269231,-9.49E-15,1.8269231,-9.46E-15,1.8269231,-9.42E-15,1.8269231,-9.33E-15,1.8269231,-9.23E-15,1.8269231,-9.11E-15,1.8269231,-8.98E-15,1.8269231,-8.82E-15,1.8269231,-8.62E-15,1.8269231,-8.38E-15,1.8269231,-8.05E-15,1.8269231,-7.60E-15,1.8269231,-6.96E-15,1.8269231,-6.43E-15,1.8269231,-6.24E-15,1.8269231,-6.18E-15,1.8269231,-6.15E-15,1.8269231,-6.12E-15,1.8269231,-6.10E-15,1.8269231,-6.08E-15,1.8269231,-6.07E-15,1.8269231,-6.05E-15,1.8269231,-6.03E-15,1.8269231,-6.02E-15,1.8269231,-6.00E-15,1.8269231,-5.97E-15,1.8269231,-5.96E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9615385,-9.55E-15,1.9615385,-9.53E-15,1.9615385,-9.49E-15,1.9615385,-9.41E-15,1.9615385,-9.33E-15,1.9615385,-9.23E-15,1.9615385,-9.12E-15,1.9615385,-8.99E-15,1.9615385,-8.85E-15,1.9615385,-8.67E-15,1.9615385,-8.45E-15,1.9615385,-8.17E-15,1.9615385,-7.77E-15,1.9615385,-7.20E-15,1.9615385,-6.58E-15,1.9615385,-6.29E-15,1.9615385,-6.20E-15,1.9615385,-6.16E-15,1.9615385,-6.13E-15,1.9615385,-6.11E-15,1.9615385,-6.09E-15,1.9615385,-6.07E-15,1.9615385,-6.06E-15,1.9615385,-6.04E-15,1.9615385,-6.02E-15,1.9615385,-6.00E-15,1.9615385,-5.99E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0961538,-9.61E-15,2.0961538,-9.58E-15,2.0961538,-9.55E-15,2.0961538,-9.49E-15,2.0961538,-9.41E-15,2.0961538,-9.33E-15,2.0961538,-9.24E-15,2.0961538,-9.13E-15,2.0961538,-9.01E-15,2.0961538,-8.87E-15,2.0961538,-8.71E-15,2.0961538,-8.51E-15,2.0961538,-8.26E-15,2.0961538,-7.92E-15,2.0961538,-7.42E-15,2.0961538,-6.78E-15,2.0961538,-6.37E-15,2.0961538,-6.24E-15,2.0961538,-6.19E-15,2.0961538,-6.15E-15,2.0961538,-6.13E-15,2.0961538,-6.10E-15,2.0961538,-6.08E-15,2.0961538,-6.06E-15,2.0961538,-6.04E-15,2.0961538,-6.03E-15,2.0961538,-6.01E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2307692,-9.65E-15,2.2307692,-9.63E-15,2.2307692,-9.61E-15,2.2307692,-9.55E-15,2.2307692,-9.48E-15,2.2307692,-9.41E-15,2.2307692,-9.33E-15,2.2307692,-9.24E-15,2.2307692,-9.14E-15,2.2307692,-9.03E-15,2.2307692,-8.90E-15,2.2307692,-8.75E-15,2.2307692,-8.57E-15,2.2307692,-8.35E-15,2.2307692,-8.05E-15,2.2307692,-7.62E-15,2.2307692,-7.01E-15,2.2307692,-6.48E-15,2.2307692,-6.28E-15,2.2307692,-6.21E-15,2.2307692,-6.17E-15,2.2307692,-6.14E-15,2.2307692,-6.12E-15,2.2307692,-6.09E-15,2.2307692,-6.07E-15,2.2307692,-6.05E-15,2.2307692,-6.03E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3653846,-9.70E-15,2.3653846,-9.68E-15,2.3653846,-9.65E-15,2.3653846,-9.60E-15,2.3653846,-9.54E-15,2.3653846,-9.48E-15,2.3653846,-9.41E-15,2.3653846,-9.34E-15,2.3653846,-9.25E-15,2.3653846,-9.16E-15,2.3653846,-9.05E-15,2.3653846,-8.93E-15,2.3653846,-8.79E-15,2.3653846,-8.63E-15,2.3653846,-8.42E-15,2.3653846,-8.16E-15,2.3653846,-7.79E-15,2.3653846,-7.24E-15,2.3653846,-6.64E-15,2.3653846,-6.34E-15,2.3653846,-6.25E-15,2.3653846,-6.20E-15,2.3653846,-6.16E-15,2.3653846,-6.13E-15,2.3653846,-6.11E-15,2.3653846,-6.08E-15,2.3653846,-6.06E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,-9.74E-15,2.5,-9.72E-15,2.5,-9.70E-15,2.5,-9.65E-15,2.5,-9.60E-15,2.5,-9.54E-15,2.5,-9.48E-15,2.5,-9.41E-15,2.5,-9.34E-15,2.5,-9.26E-15,2.5,-9.17E-15,2.5,-9.07E-15,2.5,-8.96E-15,2.5,-8.83E-15,2.5,-8.67E-15,2.5,-8.49E-15,2.5,-8.25E-15,2.5,-7.93E-15,2.5,-7.46E-15,2.5,-6.84E-15,2.5,-6.42E-15,2.5,-6.28E-15,2.5,-6.23E-15,2.5,-6.19E-15,2.5,-6.15E-15,2.5,-6.12E-15,2.5,-6.10E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
